MW,LogP,HBA,HBD,RotBonds,AroRings,TPSA,HeavyAtoms,Heteroatoms
378.5160000000001,4.362500000000003,3,1,6,2,41.57000000000001,28,4
378.5160000000001,4.362500000000003,3,1,6,2,41.57000000000001,28,4
350.5060000000002,4.300100000000004,2,1,6,2,32.34,26,3
449.63900000000024,4.847200000000005,4,0,9,2,36.019999999999996,33,5
404.5980000000003,5.866400000000007,2,0,8,2,23.550000000000004,30,3
366.48,4.493000000000004,2,1,5,2,32.34,27,4
351.4940000000002,3.1632000000000016,3,1,6,2,35.580000000000005,26,4
348.49,4.353900000000004,2,1,5,2,32.34,26,3
376.5440000000001,4.970740000000005,2,1,5,2,32.34,28,3
424.58800000000014,6.270900000000007,2,0,6,3,23.550000000000004,32,3
388.5550000000003,5.252300000000005,2,0,7,2,23.550000000000004,29,3
417.3800000000001,5.660700000000006,2,1,5,2,32.34,28,5
362.51700000000005,4.696100000000005,2,0,5,2,23.550000000000004,27,3
366.48,4.493000000000004,2,1,5,2,32.34,27,4
354.519,4.4154000000000035,3,1,5,2,32.34,25,4
393.4870000000001,4.262100000000003,4,1,6,2,75.48,29,6
402.58200000000016,5.476300000000006,2,0,7,2,23.550000000000004,30,3
394.58400000000006,5.0758000000000045,3,1,6,2,32.34,28,4
398.55000000000007,5.507100000000006,2,1,5,3,32.34,30,3
363.50500000000005,3.9361000000000015,3,2,5,2,58.36,27,4
430.63600000000025,6.399000000000007,2,0,6,2,23.550000000000004,32,3
416.60900000000015,6.032500000000007,2,0,7,2,23.550000000000004,31,3
366.48,4.493000000000004,2,1,5,2,32.34,27,4
378.5160000000001,4.362500000000003,3,1,6,2,41.57000000000001,28,4
416.487,5.3727000000000045,2,1,5,2,32.34,30,6
390.5270000000001,4.556500000000004,3,1,6,2,49.410000000000004,29,4
382.93500000000006,5.007300000000004,2,1,5,2,32.34,27,4
847.9200000000004,-4.7112,15,13,22,2,354.45,60,21
685.7790000000002,-2.5353999999999908,10,10,19,2,275.29999999999995,49,16
327.3800000000001,1.3014,5,2,2,1,70.0,24,5
414.59300000000013,5.596900000000006,3,1,5,3,26.71,31,3
680.2490000000003,1.7655000000000016,9,7,7,2,199.95,45,15
396.4030000000002,3.2159000000000013,8,1,4,3,102.89000000000001,29,9
394.3870000000002,3.1256000000000013,8,1,4,3,102.89000000000001,29,9
429.8600000000001,4.097700000000002,7,1,3,3,86.05000000000001,30,9
399.8780000000002,4.269520000000003,6,1,3,3,59.750000000000014,28,7
359.813,3.3039000000000014,6,2,6,3,68.54,25,7
668.7650000000004,1.7434000000000003,10,6,0,2,180.45999999999998,47,13
336.47900000000004,4.136700000000004,2,0,6,2,23.550000000000004,25,3
492.36700000000025,4.3858200000000025,6,2,6,3,121.98,33,12
470.9570000000004,2.4555999999999996,6,1,5,2,74.35000000000002,33,9
379.4890000000001,2.6198000000000006,6,1,3,3,61.36000000000001,27,7
504.1110000000003,4.835600000000006,5,2,4,1,62.16,35,6
385.8510000000001,3.9611000000000036,6,1,3,3,59.750000000000014,27,7
309.45300000000003,4.292000000000004,2,0,7,2,20.310000000000002,23,2
371.86800000000017,4.241000000000004,5,1,4,3,50.519999999999996,26,6
357.4500000000003,1.7072999999999998,5,3,2,1,73.16,26,5
443.8870000000002,4.406120000000004,7,1,3,3,86.05000000000001,31,9
365.43300000000016,2.3438,5,1,3,2,54.040000000000006,27,6
513.5090000000002,5.5098000000000065,3,1,7,3,43.78,35,6
413.52100000000013,4.407400000000004,4,1,5,3,44.81,31,5
399.87800000000016,3.4918000000000022,5,1,3,2,54.040000000000006,28,7
399.87800000000016,2.997200000000001,5,1,3,2,54.040000000000006,28,7
514.9660000000003,2.592199999999999,7,1,5,2,100.65,36,11
612.5520000000001,1.573300000000001,4,0,4,2,40.05,37,6
356.51000000000016,3.2536000000000023,3,0,4,1,32.78,26,4
428.5760000000003,3.9547000000000025,4,2,2,2,44.730000000000004,32,4
442.6030000000003,4.296900000000004,4,1,2,2,35.94,33,4
384.48000000000013,2.3339,6,0,7,2,67.67,28,7
426.5600000000003,4.113100000000004,4,1,2,2,45.06,32,4
408.92900000000026,4.862500000000006,4,0,6,3,34.47,29,5
370.4970000000001,2.8073000000000015,5,0,8,2,50.6,27,6
456.5860000000002,4.121700000000003,5,1,3,2,54.290000000000006,34,5
358.485,4.508920000000003,3,0,5,3,25.240000000000002,27,3
374.484,4.209100000000003,4,0,6,3,34.47,28,4
355.8690000000001,4.793400000000004,4,1,3,3,41.29,25,5
500.6390000000003,4.520400000000004,6,1,5,2,63.52000000000001,37,6
392.4740000000002,4.348200000000003,4,0,6,3,34.47,29,5
1391.6890000000012,-4.092299999999992,18,19,46,2,589.6899999999998,99,34
1361.6670000000008,-5.010999999999987,17,19,44,2,590.7699999999999,97,34
1373.6740000000004,-4.005799999999993,17,18,32,2,555.4699999999999,98,33
1373.6740000000004,-4.005799999999993,17,18,32,2,555.4699999999999,98,33
1317.5660000000003,-5.420500000000003,17,18,30,2,555.4699999999998,94,33
1391.6890000000012,-4.092299999999992,18,19,46,2,589.6899999999998,99,34
1335.5810000000008,-5.506999999999996,18,19,44,2,589.6899999999999,95,34
1391.6890000000012,-4.092299999999994,18,19,46,2,589.6899999999999,99,34
1391.6890000000012,-4.092299999999994,18,19,46,2,589.6899999999999,99,34
1373.6740000000011,-4.005799999999998,17,18,32,2,555.4699999999998,98,33
1317.5660000000003,-5.420500000000003,17,18,30,2,555.4699999999998,94,33
1335.5810000000008,-5.506999999999996,18,19,44,2,589.6899999999999,95,34
1373.6740000000011,-4.005799999999998,17,18,32,2,555.4699999999998,98,33
374.86800000000017,2.2984999999999998,4,2,2,1,61.8,26,6
686.7630000000004,-1.9360999999999902,10,10,19,2,269.51,49,16
414.9330000000003,3.0787000000000013,4,2,4,1,61.8,29,6
391.3420000000002,4.831400000000004,2,0,6,2,23.550000000000004,26,5
379.5290000000002,4.258900000000003,4,0,7,2,35.910000000000004,27,5
448.41900000000027,5.565700000000005,4,0,7,2,35.910000000000004,29,7
379.5290000000002,4.258900000000003,4,0,7,2,35.910000000000004,27,5
388.85100000000017,1.6216,5,2,2,1,78.87,27,7
645.8040000000003,1.1121000000000028,9,7,7,2,199.95,44,14
428.9160000000003,2.4018000000000006,5,2,4,1,78.87,30,7
379.5290000000002,4.258900000000003,4,0,7,2,35.910000000000004,27,5
1089.2169999999999,1.0245000000000077,12,12,30,5,374.64,79,23
1089.2169999999999,1.0245000000000077,12,12,30,5,374.64,79,23
1075.19,0.4635000000000116,12,12,30,5,374.64,78,23
1089.2169999999999,1.0245000000000077,12,12,30,5,374.64,79,23
1089.2169999999999,1.0245000000000077,12,12,30,5,374.64,79,23
509.6460000000004,5.208700000000006,5,2,6,3,62.160000000000004,38,5
343.42300000000023,1.3171999999999997,5,3,2,1,73.16,25,5
483.60800000000046,4.694900000000003,5,2,5,3,62.160000000000004,36,5
341.4070000000001,1.5253999999999999,5,2,2,1,70.0,25,5
533.6680000000003,5.848100000000008,5,2,5,4,62.160000000000004,40,5
533.6680000000003,5.848100000000008,5,2,5,4,62.160000000000004,40,5
483.60800000000046,4.694900000000004,5,2,5,3,62.160000000000004,36,5
519.6820000000004,3.9829000000000034,6,2,6,1,79.23,38,6
483.60800000000046,4.694900000000004,5,2,5,3,62.160000000000004,36,5
433.54800000000034,3.5417000000000014,5,2,5,2,62.160000000000004,32,5
433.54800000000034,3.5417000000000014,5,2,5,2,62.160000000000004,32,5
509.6460000000004,5.208700000000006,5,2,6,3,62.160000000000004,38,5
483.60800000000046,4.694900000000003,5,2,5,3,62.160000000000004,36,5
399.4430000000002,1.1475999999999997,7,1,4,1,85.30000000000001,29,7
441.52400000000034,2.0707,7,2,6,1,88.46,32,7
858.0009999999997,4.628900000000004,12,3,12,3,152.25,63,13
509.64300000000037,3.5660000000000025,7,1,8,1,77.46000000000001,37,7
414.50500000000034,3.5726000000000013,4,3,2,3,68.72,31,5
512.6060000000004,3.9750000000000023,6,2,6,3,84.02000000000001,38,7
301.342,0.7451999999999999,5,2,0,1,70.0,22,5
661.799,3.824100000000003,8,5,4,3,121.65,49,9
315.45700000000005,3.2215000000000025,3,2,3,1,43.7,23,3
335.403,2.7525000000000004,4,1,1,2,45.84,25,4
425.5690000000003,3.3876000000000017,5,2,4,1,62.16,31,5
539.6250000000005,2.4731000000000005,9,1,10,1,103.76,39,9
439.5080000000003,1.9277999999999997,7,1,6,1,85.30000000000001,32,7
285.343,1.1981,4,2,0,1,52.93000000000001,21,4
411.5420000000002,3.1636000000000015,5,2,4,1,62.160000000000004,30,5
523.6700000000004,3.7900000000000027,7,1,8,1,77.46000000000001,38,7
311.38100000000014,1.6950999999999998,4,1,1,1,49.77,23,4
441.52400000000034,1.7195999999999998,7,2,6,1,88.46000000000001,32,7
419.1600000000002,5.418700000000004,1,0,0,2,3.24,22,3
257.377,3.080400000000002,2,1,0,1,23.47,19,2
459.6370000000002,6.973800000000007,3,2,6,4,27.299999999999997,35,3
629.4399999999998,8.642900000000003,3,2,6,4,27.299999999999997,38,5
419.56900000000024,3.4228000000000023,5,0,2,2,28.18,31,5
1375.694000000001,-4.622499999999993,17,19,44,2,590.7699999999999,98,34
1375.694000000001,-4.622499999999993,17,19,44,2,590.7699999999999,98,34
485.72000000000037,4.033400000000004,5,0,4,2,16.200000000000003,36,5
377.44000000000017,3.7443000000000026,5,0,2,2,55.84,28,5
321.4200000000001,3.9109000000000025,3,0,2,2,21.700000000000003,24,3
445.65500000000026,3.2532000000000023,5,0,2,2,16.200000000000003,33,5
1375.6940000000009,-4.707999999999986,17,18,45,2,579.7699999999999,98,34
325.45500000000004,4.972400000000004,1,0,2,3,3.24,25,1
407.14900000000006,5.274600000000004,1,0,0,2,3.24,21,3
499.70200000000034,7.7540000000000076,3,2,8,4,27.299999999999997,38,3
281.35499999999996,3.160800000000002,3,2,0,2,43.7,21,3
431.58300000000014,7.236800000000006,3,2,4,4,27.299999999999997,33,3
405.4940000000002,4.380400000000004,5,0,4,2,55.84,30,5
471.64800000000025,8.017000000000007,3,2,6,4,27.299999999999997,36,3
321.4200000000001,3.9410000000000034,3,2,2,2,43.7,24,3
349.4740000000001,4.547000000000004,3,0,4,2,21.700000000000003,26,3
293.36600000000004,3.3049000000000017,3,2,0,2,43.7,22,3
470.53000000000026,-1.3996999999999957,7,7,11,2,188.67000000000002,34,11
656.7440000000001,-0.19089999999999208,8,9,14,4,233.56,48,14
909.0139999999999,-1.618199999999998,12,12,22,4,325.29999999999995,66,20
656.744,-0.19089999999999385,8,9,14,4,233.56,48,14
583.6900000000004,-0.724699999999991,8,8,15,2,217.76999999999998,42,13
583.6900000000004,-0.724699999999991,8,8,15,2,217.76999999999998,42,13
633.7060000000001,-0.9665999999999928,9,9,14,3,238.0,46,14
617.7070000000001,-0.672199999999993,8,8,14,3,217.77,45,13
617.7070000000001,-0.672199999999993,8,8,14,3,217.77,45,13
343.42300000000023,1.3171999999999997,5,3,2,1,73.16,25,5
490.6250000000004,4.276000000000003,7,2,6,2,74.52,35,7
504.6520000000004,4.1445000000000025,7,2,7,2,74.52,36,7
504.65200000000044,4.1445000000000025,7,2,7,2,74.52,36,7
406.35700000000026,4.413600000000002,3,1,6,2,49.57000000000001,27,6
504.65200000000044,4.1445000000000025,7,2,7,2,74.52,36,7
490.62500000000045,4.276000000000003,7,2,6,2,74.52,35,7
490.6250000000004,4.276000000000003,7,2,6,2,74.52,35,7
421.58500000000026,3.8767000000000023,4,1,6,2,44.81,31,5
294.398,2.883800000000001,3,1,4,2,32.34,22,3
391.55900000000025,4.061600000000004,3,0,8,2,26.79,29,4
423.60100000000017,4.338900000000003,4,1,7,2,44.81,31,5
385.9390000000002,3.816600000000003,3,1,6,2,35.580000000000005,27,5
827.0379999999997,3.6936000000000027,12,4,11,2,157.73999999999998,58,14
855.0919999999995,4.473800000000003,12,4,11,2,157.74,60,14
310.4410000000001,2.9086000000000007,3,2,4,2,35.5,23,3
402.5420000000002,3.711400000000002,4,1,6,3,48.470000000000006,30,5
407.6020000000003,4.675700000000004,3,0,9,2,26.79,30,4
435.6120000000002,4.5442000000000045,4,1,8,2,47.019999999999996,32,5
350.50600000000026,4.7439000000000044,2,0,6,2,23.550000000000004,26,3
310.3970000000001,2.4678000000000004,4,1,4,2,41.57,23,4
381.52000000000015,3.171800000000001,4,1,7,2,44.81,28,5
353.51000000000016,3.409200000000002,3,1,9,2,35.580000000000005,26,4
369.48400000000015,3.3023000000000016,3,1,6,2,35.580000000000005,27,5
295.386,1.7800999999999996,3,2,4,2,58.36000000000001,22,4
402.5420000000002,3.711400000000002,4,1,6,3,48.470000000000006,30,5
296.37000000000006,2.3794000000000004,3,2,4,2,52.57,22,4
323.44000000000005,2.383000000000001,3,1,4,2,35.580000000000005,24,4
320.40000000000003,1.8612999999999993,5,2,4,3,69.73,24,6
350.5060000000002,4.300100000000003,3,1,7,2,32.34,26,3
746.9079999999999,2.1331999999999995,12,4,7,2,157.73999999999998,52,14
277.3709999999999,2.55288,3,1,3,2,39.06,21,3
381.52000000000015,3.171800000000001,4,1,7,2,44.81,28,5
337.51100000000014,3.5230000000000024,3,1,7,2,18.509999999999998,25,3
387.5490000000002,2.7117000000000013,4,1,7,2,52.650000000000006,27,6
365.52100000000024,3.5054000000000025,3,0,6,2,26.790000000000006,27,4
423.60100000000017,4.338900000000003,4,1,7,2,44.81,31,5
401.5540000000002,4.316400000000003,3,1,6,3,35.580000000000005,30,4
402.5420000000002,3.711400000000002,4,1,6,3,48.470000000000006,30,5
774.9619999999998,2.9134,12,4,7,2,157.73999999999998,54,14
402.5420000000002,3.711400000000002,4,1,6,3,48.470000000000006,30,5
365.5210000000002,3.4716200000000024,3,1,6,2,35.580000000000005,27,4
390.53100000000023,3.6445000000000016,3,2,6,3,51.370000000000005,29,5
365.52100000000024,3.553300000000002,3,1,6,2,35.580000000000005,27,4
323.44000000000005,2.4309000000000003,3,2,5,2,44.370000000000005,24,4
401.5540000000002,4.316400000000003,3,1,6,3,35.580000000000005,30,4
357.5420000000001,3.6952000000000025,3,1,6,1,35.580000000000005,26,4
411.54900000000026,3.976300000000003,3,1,4,3,35.58,31,4
402.5420000000002,3.711400000000002,4,1,6,3,48.470000000000006,30,5
405.58600000000035,4.285600000000004,3,0,8,2,26.790000000000006,30,4
573.6760000000002,-1.8408999999999924,7,7,15,2,238.07999999999998,40,14
2147.523000000001,-6.35918999999991,27,33,71,4,917.3700000000001,153,54
1565.9430000000002,-5.6463999999999785,21,21,39,2,648.9699999999999,109,40
616.7410000000002,-0.29432999999999443,8,7,15,2,204.79999999999998,43,14
532.6190000000003,-0.556299999999994,7,6,14,2,193.90999999999997,37,12
546.6460000000004,-0.4678999999999949,8,5,14,2,182.91,38,12
531.6350000000002,-1.155599999999993,7,6,14,2,199.7,37,12
602.7140000000002,-0.8109999999999944,8,5,15,2,212.5,42,14
455.51500000000027,-0.9042999999999966,6,6,11,2,176.64000000000001,33,10
560.6730000000005,-0.07939999999999586,8,5,14,2,182.91,39,12
1603.002000000001,-4.866299999999959,20,22,54,2,674.9899999999999,114,39
588.6870000000001,-1.1531999999999938,8,6,15,2,221.29000000000002,41,14
560.6730000000005,-0.12569999999999543,8,4,14,2,174.12,39,12
1324.6080000000004,-5.791100000000002,18,18,27,2,564.7499999999999,92,35
1565.9430000000002,-5.646399999999969,21,21,39,2,648.9699999999999,109,40
546.6460000000004,-0.21409999999999524,7,5,14,2,185.12,38,12
545.6620000000004,-0.8133999999999928,7,5,14,2,190.91,38,12
408.4730000000002,3.3190000000000017,5,1,6,3,54.699999999999996,30,6
546.6460000000003,-0.16779999999999534,7,6,14,2,193.91,38,12
545.6620000000001,-0.7670999999999948,7,6,14,2,199.70000000000002,38,12
486.49000000000007,4.682700000000004,5,1,8,3,71.77000000000001,35,9
1565.9430000000002,-5.6463999999999785,21,21,39,2,648.9699999999999,109,40
1282.5270000000005,-6.817300000000009,18,18,25,2,564.7499999999999,89,35
802.886,-2.003099999999989,11,10,19,3,295.60999999999996,58,18
480.5740000000001,5.793000000000006,2,0,9,3,23.550000000000004,35,6
517.6200000000002,6.181880000000007,4,1,10,3,65.36,38,7
413.86100000000016,2.9090000000000016,6,1,3,3,76.56,29,8
374.46200000000005,0.7988999999999999,6,3,2,1,78.87,26,7
521.6520000000003,5.845500000000006,3,1,11,3,44.81,38,7
476.61100000000016,6.044000000000007,2,0,10,3,23.550000000000004,35,5
355.86900000000014,4.5408200000000045,4,1,3,3,41.29,25,5
461.5560000000001,5.8570000000000055,3,1,7,4,41.03,34,6
477.42600000000033,6.228800000000008,2,0,6,3,6.48,32,6
474.5570000000002,3.5925400000000023,5,3,6,3,113.09000000000002,35,7
398.4590000000001,1.92554,5,3,5,2,113.09000000000002,29,7
468.6670000000002,3.506240000000002,4,4,5,2,90.95,33,7
384.43200000000013,1.62254,5,4,4,2,124.09000000000002,28,7
444.5310000000002,3.583940000000002,4,3,5,3,103.86,33,6
423.6010000000002,3.468040000000002,4,3,6,2,78.59,31,5
398.4590000000001,1.92554,5,3,5,2,113.09000000000002,29,7
381.52000000000015,2.3939400000000006,4,2,5,2,69.8,28,5
462.5210000000002,3.723040000000002,4,3,5,3,103.86,34,7
488.65700000000015,4.230240000000003,4,4,6,3,90.95,35,7
450.5600000000002,3.6454400000000016,5,3,5,3,103.86,32,7
354.4500000000001,1.82464,4,3,4,2,86.79,26,5
394.5150000000002,3.0349400000000015,4,2,7,2,75.79,29,5
379.4640000000001,3.142640000000002,4,2,5,2,115.32000000000001,28,7
395.5070000000002,1.1057400000000013,4,4,5,2,130.96,29,7
457.5740000000002,3.262340000000001,4,3,6,3,95.66,34,6
368.4330000000001,1.91694,4,3,4,2,103.86,27,6
474.5570000000002,3.5925400000000023,5,3,6,3,113.09000000000002,35,7
437.58400000000023,2.9946400000000013,4,3,5,2,95.66,32,6
424.54500000000024,2.151439999999999,4,4,6,2,107.69000000000001,31,7
768.869,-1.6631999999999942,10,10,21,2,301.23999999999995,55,18
474.5570000000003,3.5925400000000014,5,3,6,3,113.09,35,7
395.5030000000002,1.968439999999999,4,3,5,2,95.66000000000001,29,6
492.5470000000003,3.7316400000000014,5,3,6,3,113.09,36,8
354.4060000000001,1.9654399999999999,4,4,4,2,98.66000000000001,26,6
472.58900000000017,3.654040000000002,4,4,6,3,107.69,35,7
556.2510000000003,3.450540000000002,5,3,5,2,113.09000000000002,31,9
396.4870000000002,2.39544,5,2,5,2,92.86,29,6
394.51900000000023,2.41911,4,4,5,2,102.44000000000001,29,6
542.2240000000002,3.147540000000001,5,4,4,2,124.09000000000002,30,9
353.4660000000001,1.7910399999999997,4,3,4,2,92.58,26,5
484.55200000000025,4.330140000000002,5,3,5,4,117.00000000000001,36,7
556.2510000000003,3.450540000000002,5,3,5,2,113.09000000000002,31,9
338.4510000000001,2.852240000000001,3,2,3,2,66.56,25,4
444.5310000000002,3.583940000000002,4,3,5,3,103.86,33,6
462.5210000000002,3.723040000000002,4,3,5,3,103.86,34,7
444.5750000000002,4.049140000000003,4,2,7,3,75.79,33,5
443.5910000000002,3.6221400000000017,4,3,7,3,78.59,33,5
368.4770000000001,2.478740000000001,4,2,5,2,75.79,27,5
